# Force coefficients
# dragDir     : (9.844419e-01 0.000000e+00 1.757104e-01)
# sideDir     : (0.000000e+00 1.000000e+00 -0.000000e+00)
# liftDir     : (-1.757104e-01 0.000000e+00 9.844419e-01)
# rollAxis    : (9.844419e-01 0.000000e+00 1.757104e-01)
# pitchAxis   : (0.000000e+00 1.000000e+00 -0.000000e+00)
# yawAxis     : (-1.757104e-01 0.000000e+00 9.844419e-01)
# magUInf     : 5.148150e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	9.214442e-03	-1.014490e-21	1.103198e+00	-5.515988e-01	-2.656246e-01	4.607221e-03	-5.469916e-01	5.562060e-01	4.607221e-03	-4.607221e-03	2.859742e-01	8.172234e-01
2             	9.161940e-03	-1.013351e-21	1.103147e+00	-5.515733e-01	-2.655853e-01	4.580970e-03	-5.469923e-01	5.561543e-01	4.580970e-03	-4.580970e-03	2.859880e-01	8.171586e-01
3             	9.061462e-03	-1.012368e-21	1.103204e+00	-5.516020e-01	-2.655606e-01	4.530731e-03	-5.470713e-01	5.561327e-01	4.530731e-03	-4.530731e-03	2.860414e-01	8.171626e-01
4             	8.922473e-03	-1.011528e-21	1.103334e+00	-5.516671e-01	-2.655455e-01	4.461236e-03	-5.472059e-01	5.561284e-01	4.461236e-03	-4.461236e-03	2.861217e-01	8.172126e-01
5             	8.756486e-03	-1.010804e-21	1.103483e+00	-5.517416e-01	-2.655291e-01	4.378243e-03	-5.473633e-01	5.561198e-01	4.378243e-03	-4.378243e-03	2.862125e-01	8.172706e-01
6             	8.573659e-03	-1.010167e-21	1.103601e+00	-5.518005e-01	-2.655005e-01	4.286830e-03	-5.475137e-01	5.560873e-01	4.286830e-03	-4.286830e-03	2.863000e-01	8.173010e-01
7             	8.382323e-03	-1.009586e-21	1.103660e+00	-5.518299e-01	-2.654541e-01	4.191161e-03	-5.476387e-01	5.560210e-01	4.191161e-03	-4.191161e-03	2.863758e-01	8.172840e-01
8             	8.189522e-03	-1.009057e-21	1.103658e+00	-5.518288e-01	-2.653916e-01	4.094761e-03	-5.477341e-01	5.559236e-01	4.094761e-03	-4.094761e-03	2.864372e-01	8.172205e-01
9             	8.000379e-03	-1.008567e-21	1.103613e+00	-5.518067e-01	-2.653204e-01	4.000189e-03	-5.478065e-01	5.558068e-01	4.000189e-03	-4.000189e-03	2.864862e-01	8.171271e-01
10            	7.818592e-03	-1.008126e-21	1.103554e+00	-5.517770e-01	-2.652500e-01	3.909296e-03	-5.478677e-01	5.556863e-01	3.909296e-03	-3.909296e-03	2.865270e-01	8.170270e-01
11            	7.646709e-03	-1.007749e-21	1.103506e+00	-5.517531e-01	-2.651891e-01	3.823354e-03	-5.479298e-01	5.555765e-01	3.823354e-03	-3.823354e-03	2.865641e-01	8.169422e-01
12            	7.485741e-03	-1.007434e-21	1.103487e+00	-5.517437e-01	-2.651428e-01	3.742871e-03	-5.480009e-01	5.554866e-01	3.742871e-03	-3.742871e-03	2.866009e-01	8.168865e-01
13            	7.334019e-03	-1.007165e-21	1.103499e+00	-5.517497e-01	-2.651095e-01	3.667009e-03	-5.480827e-01	5.554167e-01	3.667009e-03	-3.667009e-03	2.866402e-01	8.168592e-01
14            	7.189726e-03	-1.006924e-21	1.103537e+00	-5.517683e-01	-2.650852e-01	3.594863e-03	-5.481734e-01	5.553631e-01	3.594863e-03	-3.594863e-03	2.866830e-01	8.168535e-01
15            	7.050525e-03	-1.006690e-21	1.103587e+00	-5.517935e-01	-2.650640e-01	3.525262e-03	-5.482682e-01	5.553187e-01	3.525262e-03	-3.525262e-03	2.867295e-01	8.168575e-01
16            	6.914560e-03	-1.006450e-21	1.103638e+00	-5.518191e-01	-2.650401e-01	3.457280e-03	-5.483618e-01	5.552763e-01	3.457280e-03	-3.457280e-03	2.867789e-01	8.168592e-01
17            	6.780972e-03	-1.006198e-21	1.103680e+00	-5.518401e-01	-2.650096e-01	3.390486e-03	-5.484496e-01	5.552306e-01	3.390486e-03	-3.390486e-03	2.868305e-01	8.168497e-01
18            	6.649394e-03	-1.005934e-21	1.103708e+00	-5.518540e-01	-2.649707e-01	3.324697e-03	-5.485293e-01	5.551787e-01	3.324697e-03	-3.324697e-03	2.868833e-01	8.168247e-01
19            	6.520387e-03	-1.005671e-21	1.103721e+00	-5.518604e-01	-2.649240e-01	3.260194e-03	-5.486002e-01	5.551206e-01	3.260194e-03	-3.260194e-03	2.869364e-01	8.167844e-01
20            	6.395058e-03	-1.005428e-21	1.103722e+00	-5.518608e-01	-2.648713e-01	3.197529e-03	-5.486632e-01	5.550583e-01	3.197529e-03	-3.197529e-03	2.869894e-01	8.167321e-01
